,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,Cincinnati Reds,Detroit Tigers,0.642615074826504,0.35738492517349596,-200.0,165.0,0.6666666666666665,0.37735849056603776,-0.02405159184016248,-0.019973565392541803,0,0,0,0
1,Kansas City Royals,Chicago White Sox,0.3527726630686486,0.6472273369313515,135.0,-160.0,0.425531914893617,0.6153846153846154,-0.07275925182496845,0.031842721546736064,0,0.008279107602151382,0,827.9107602151381
2,Colorado Rockies,Atlanta Braves,0.5307457996309946,0.46925420036900545,-110.0,-115.0,0.5238095238095238,0.5348837209302325,0.0069362758214707165,-0.06562952056122706,0.0014566179225088572,0,145.66179225088572,0
3,Arizona Diamondbacks,Seattle Mariners,0.40076845505148184,0.5992315449485182,-105.0,-120.0,0.5121951219512195,0.5454545454545454,-0.11142666689973768,0.053776999493972744,0,0.011830939888673998,0,1183.0939888673997
4,San Diego Padres,Houston Astros,0.5030486359142917,0.4969513640857083,-110.0,-110.0,0.5238095238095238,0.5238095238095238,-0.020760887895232116,-0.026858159723815556,0,0,0,0
5,San Francisco Giants,Los Angeles Dodgers,0.44096522787853193,0.5590347721214681,290.0,-400.0,0.2564102564102564,0.8,0.18455497146827554,-0.24096522787853192,0.024819461680216356,0,2481.9461680216355,0
6,Los Angeles Angels,Texas Rangers,0.5615578053797615,0.4384421946202385,-300.0,220.0,0.75,0.3125,-0.18844219462023848,0.12594219462023848,0,0.01831886467203469,0,1831.886467203469
7,New York Yankees,Baltimore Orioles,0.7054311470630451,0.2945688529369549,-300.0,230.0,0.75,0.30303030303030304,-0.044568852936954895,-0.008461450093348144,0,0,0,0
8,Washington Nationals,New York Mets,0.6454242235212235,0.35457577647877647,125.0,-150.0,0.4444444444444444,0.6,0.2009797790767791,-0.2454242235212235,0.03617636023382024,0,3617.6360233820237,0
9,Chicago Cubs,Pittsburgh Pirates,0.5479540536012835,0.45204594639871654,-145.0,125.0,0.5918367346938775,0.4444444444444444,-0.04388268109259408,0.007601501954272116,0,0.001368270351768981,0,136.82703517689808
10,Toronto Blue Jays,Oakland Athletics,0.7076194591469795,0.29238054085302045,-200.0,165.0,0.6666666666666665,0.37735849056603776,0.04095279248031303,-0.08497794971301731,0.012285837744093864,0,1228.5837744093865,0
11,Tampa Bay Rays,Minnesota Twins,0.6707554326082588,0.32924456739174124,-200.0,165.0,0.6666666666666665,0.37735849056603776,0.004088765941592243,-0.048113923174296525,0.0012266297824776284,0,122.66297824776284,0
12,Boston Red Sox,Cleveland Indians,0.6147158542090684,0.3852841457909316,-155.0,125.0,0.6078431372549019,0.4444444444444444,0.006872716954166469,-0.0591602986535128,0.0017525428233124327,0,175.25428233124327,0
13,Washington Nationals,New York Mets,0.6454242235212235,0.35457577647877647,125.0,-150.0,0.4444444444444444,0.6,0.2009797790767791,-0.2454242235212235,0.03617636023382024,0,3617.6360233820237,0
14,Miami Marlins,Philadelphia Phillies,0.5900178972665133,0.4099821027334867,105.0,-125.0,0.4878048780487805,0.5555555555555556,0.10221301921773285,-0.1455734528220689,0.01995587518060499,0,1995.5875180604992,0
15,Milwaukee Brewers,St. Louis Cardinals,0.5830449452874564,0.41695505471254357,-250.0,200.0,0.7142857142857143,0.33333333333333326,-0.13124076899825787,0.08362172137921031,0,0.012543258206881536,0,1254.3258206881535
